dataset_name,model_name,temperature,script_name,len(accessed_columns_prediction),len(accessed_columns_ground_truth),accessed_columns_f1,correlated_columns_recall
imdb,gpt-5,0.6,general_task_17,12,12,1.0,1.0
imdb,gpt-4.1,0.6,general_task_17,12,12,1.0,1.0
imdb,gemini-2.5-pro,0.6,general_task_17,12,12,1.0,1.0
imdb,gemini-2.5-flash,0.6,general_task_17,12,12,1.0,1.0
imdb,gpt-4o,0.6,general_task_17,12,12,1.0,1.0
imdb,gpt-5-mini,0.6,general_task_17,12,12,1.0,1.0
imdb,gpt-5-low,0.6,general_task_17,12,12,1.0,1.0
imdb,gpt-5-low,0.6,general_task_18,7,7,1.0,1.0
imdb,gemini-2.5-pro,0.6,general_task_18,7,7,1.0,1.0
imdb,gpt-4.1,0.6,general_task_18,7,7,1.0,1.0
imdb,gpt-5,0.6,general_task_18,7,7,1.0,1.0
imdb,gpt-5-mini,0.6,general_task_18,7,7,1.0,1.0
imdb,gemini-2.5-flash,0.6,general_task_18,7,7,1.0,1.0
imdb,gpt-4o,0.6,general_task_18,7,7,1.0,1.0
imdb,gemini-2.5-pro,0.6,general_task_19,15,15,1.0,1.0
imdb,gpt-4o,0.6,general_task_19,15,15,1.0,1.0
imdb,gpt-5-mini,0.6,general_task_19,15,15,1.0,1.0
imdb,gemini-2.5-flash,0.6,general_task_19,15,15,1.0,1.0
imdb,gpt-5,0.6,general_task_19,15,15,1.0,1.0
imdb,gpt-4.1,0.6,general_task_19,15,15,1.0,1.0
imdb,gpt-4o,0.6,general_task_22,10,10,1.0,1.0
imdb,gpt-4.1,0.6,general_task_22,10,10,1.0,1.0
imdb,gpt-5-mini,0.6,general_task_22,10,10,1.0,1.0
imdb,gemini-2.5-flash,0.6,general_task_22,10,10,1.0,1.0
imdb,gemini-2.5-pro,0.6,general_task_22,10,10,1.0,1.0
imdb,gpt-5,0.6,general_task_22,10,10,1.0,1.0
imdb,gemini-2.5-flash,0.6,general_task_32,8,8,1.0,1.0
imdb,gemini-2.5-pro,0.6,general_task_32,8,8,1.0,1.0
imdb,gpt-4.1,0.6,general_task_32,8,8,1.0,1.0
imdb,gpt-4o,0.6,general_task_32,8,8,1.0,0.0
imdb,gpt-5,0.6,general_task_32,8,8,1.0,1.0
imdb,gpt-5-mini,0.6,general_task_32,8,8,1.0,1.0
imdb,gpt-5-mini,0.6,general_task_35,8,17,0.6399999999999999,1.0
imdb,gpt-4.1,0.6,general_task_35,8,17,0.6399999999999999,1.0
imdb,gemini-2.5-flash,0.6,general_task_35,8,17,0.6399999999999999,1.0
imdb,gpt-4o,0.6,general_task_35,8,17,0.6399999999999999,1.0
imdb,gpt-5,0.6,general_task_35,8,17,0.6399999999999999,1.0
imdb,gemini-2.5-pro,0.6,general_task_35,8,17,0.6399999999999999,1.0
imdb,gpt-4o,0.6,general_task_37,15,15,1.0,0.0
imdb,gemini-2.5-flash,0.6,general_task_37,15,15,1.0,0.0
imdb,gpt-5,0.6,general_task_37,15,15,1.0,0.0
imdb,gpt-4.1,0.6,general_task_37,15,15,1.0,0.0
imdb,gemini-2.5-pro,0.6,general_task_37,15,15,1.0,0.5
imdb,gpt-5-mini,0.6,general_task_37,15,15,1.0,0.0
imdb,gpt-5-low,0.6,general_task_5,10,10,1.0,0.0
imdb,gpt-4.1,0.6,general_task_5,10,10,1.0,0.0
imdb,gpt-4o,0.6,general_task_5,10,10,1.0,0.0
imdb,gemini-2.5-flash,0.6,general_task_5,10,10,1.0,0.0
imdb,gemini-2.5-pro,0.6,general_task_5,10,10,1.0,1.0
imdb,gpt-5,0.6,general_task_5,10,10,1.0,0.0
imdb,gpt-5-mini,0.6,general_task_5,10,10,1.0,0.0
imdb,gpt-4.1,0.6,general_task_6,9,9,1.0,1.0
imdb,gemini-2.5-flash,0.6,general_task_6,9,9,1.0,1.0
imdb,gpt-5,0.6,general_task_6,9,9,1.0,1.0
imdb,gpt-5-mini,0.6,general_task_6,9,9,1.0,1.0
imdb,gpt-4o,0.6,general_task_6,9,9,1.0,1.0
imdb,gemini-2.5-pro,0.6,general_task_6,9,9,1.0,1.0
imdb,gpt-5-low,0.6,general_task_6,9,9,1.0,1.0
imdb,gpt-4o,0.6,general_task_7,9,9,1.0,1.0
imdb,gpt-5,0.6,general_task_7,9,9,1.0,1.0
imdb,gpt-4.1,0.6,general_task_7,9,9,1.0,1.0
imdb,gpt-5-mini,0.6,general_task_7,9,9,1.0,1.0
imdb,gemini-2.5-pro,0.6,general_task_7,9,9,1.0,1.0
imdb,gpt-5-low,0.6,general_task_7,9,9,1.0,1.0
imdb,gemini-2.5-flash,0.6,general_task_7,9,9,1.0,1.0
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_1,12,12,1.0,0.0
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_1,10,12,0.9090909090909091,0.0
IPL_win_prediction,gpt-5-mini,0.6,general_task_1,12,12,1.0,0.0
IPL_win_prediction,gpt-4o,0.6,general_task_1,10,12,0.7272727272727272,0.0
IPL_win_prediction,gpt-5,0.6,general_task_1,12,12,1.0,0.0
IPL_win_prediction,gpt-4.1,0.6,general_task_1,10,12,0.9090909090909091,0.0
IPL_win_prediction,gpt-4o,0.6,general_task_11,14,13,0.962962962962963,0.25
IPL_win_prediction,gpt-5,0.6,general_task_11,14,13,0.962962962962963,0.75
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_11,14,13,0.962962962962963,0.5
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_11,15,13,0.9285714285714286,0.5
IPL_win_prediction,gpt-5-mini,0.6,general_task_11,14,13,0.962962962962963,0.5
IPL_win_prediction,gpt-4.1,0.6,general_task_11,14,13,0.962962962962963,0.25
IPL_win_prediction,gemini-2.5-flash,0.6,general_task_12,15,15,1.0,0.0
IPL_win_prediction,gemini-2.5-pro,0.6,general_task_12,15,15,1.0,0.5
